degree,ice_coffee,degree_dev,ice_coffee_dev,degree_ice_coffee_dev
14,93,-6.3,-12.4,78.1
22,141,1.7,35.6,60.5
27,131,6.7,25.6,171.5
16,74,-4.3,-31.4,135
19,124,-1.3,18.6,-24.2
15,94,-5.3,-11.4,60.4
17,71,-3.3,-34.4,113.5
17,49,-3.3,-56.4,186.1
16,152,-4.3,46.6,-200.4
9,13,-11.3,-92.4,1044.1
20,92,-0.3,-13.4,4.0
21,35,0.7,-70.4,-49.3
29,107,8.7,1.6,13.9
34,198,13.7,92.6,1268.6
11,81,-9.3,-24.4,226.9
23,112,2.7,6.6,17.8
24,117,3.7,11.6,42.9
26,143,5.7,37.6,214.3
25,172,4.7,66.6,313
21,109,0.7,3.6,2.5
